Area,Item,2000,2005,2010,2015,2020,Entity,Land Area(Km2),2000rel,2005rel,2010rel,2015rel,2020rel
Costa Rica,All sectors without LULUCF,5471.0,6788.0,7591.0,7492.0,8177.0,Costa Rica,51100.0,0.10706457925636008,0.1328375733855186,0.1485518590998043,0.14661448140900196,0.16001956947162427
Croatia,All sectors without LULUCF,20474.0,24340.107,21710.0298,18910.0298,17590.0,Croatia,56594.0,0.3617697989186133,0.4300828179665689,0.3836100964766583,0.3341348870905043,0.31081033325087465
Cuba,All sectors without LULUCF,26850.333,26700.464,34590.469,29634.476,23845.482,Cuba,110860.0,0.24220036983582896,0.24084849359552588,0.31201938480966984,0.2673144145769439,0.21509545372541944
Cyprus,All sectors without LULUCF,7071.0,7417.0,7631.0,6654.0,6175.0,Cyprus,9251.0,0.7643498000216192,0.8017511620365366,0.8248837963463409,0.7192735920441033,0.6674954059020647
Czechia,All sectors without LULUCF,128687.1,124549.5,116871.5,103777.9,89225.7,Czechia,78871.0,1.6316149154949222,1.5791545688529371,1.4818057334127879,1.3157928769763283,1.1312865311711529
Denmark,All sectors without LULUCF,53743.38,49413.68,47633.81,32573.88,24453.72,Denmark,43094.0,1.2471197846567967,1.1466487213997307,1.1053466839931312,0.7558797048312991,0.5674506891910707
Djibouti,All sectors without LULUCF,369.28,416.32,519.73,435.1,371.8,Djibouti,23200.0,0.015917241379310342,0.017944827586206896,0.022402155172413795,0.018754310344827586,0.01602586206896552
Dominica,All sectors without LULUCF,133.1,165.8,183.1,180.61,151.0,Dominica,751.0,0.17723035952063915,0.22077230359520642,0.24380825565912118,0.24049267643142477,0.2010652463382157
Dominican Republic,All sectors without LULUCF,19620.264,18010.311,20670.365,23570.413,23130.462,Dominican Republic,48670.0,0.4031284980480789,0.3700495377028971,0.4247044380521882,0.4842903842202589,0.4752509143209369
Ecuador,All sectors without LULUCF,21683.07,31403.42,37253.77,42194.12,35074.48,Ecuador,283561.0,0.07646703883820412,0.11074661184013315,0.1313783277672176,0.14880085766378312,0.12369289147661351
Egypt,All sectors without LULUCF,147600.147,173700.321,211800.352,232900.39,243100.43,Egypt,1001450.0,0.1473864366668331,0.1734488202106945,0.21149368615507516,0.23256317339857208,0.2427484447551051
El Salvador,All sectors without LULUCF,5737.0,6420.0,6421.0,6818.0,6724.0,El Salvador,21041.0,0.2726581436243525,0.30511857801435294,0.3051661042726106,0.3240340288009125,0.3195665605246899
