Estonia,All sectors without LULUCF,17072.01,20989.22,20408.343,15987.326
Eswatini,All sectors with LULUCF,1084.1952,894.7812,851.0815,771.1469
Eswatini,All sectors without LULUCF,1214.16,1024.38,984.78,899.08
Ethiopia,All sectors with LULUCF,28713.1046,36369.8906,43156.7286,45997.1036
Ethiopia,All sectors without LULUCF,3529.618,6425.926,12801.15,15521.37
Ethiopia PDR,All sectors with LULUCF,,,,
Ethiopia PDR,All sectors without LULUCF,,,,
Falkland Islands (Malvinas),All sectors with LULUCF,5525.9228,5513.1332,5514.1447,5513.6247
Faroe Islands,All sectors with LULUCF,235.8299,235.8098,235.769,236.2762
Fiji,All sectors with LULUCF,-1727.8504,-1425.9234,-516.0108,30.5532
Fiji,All sectors without LULUCF,839.9,1148.63,2060.5,2601.3
Finland,All sectors with LULUCF,28851.6491,55797.4691,-2864.4306,50915.57
Finland,All sectors without LULUCF,53810.0,64400.0,45410.0,36960.0
France,All sectors with LULUCF,367617.3658,318655.6151,281662.5046,220304.6317
France,All sectors without LULUCF,392000.0,384590.0,342210.0,281750.0
French Guyana,All sectors with LULUCF,3566.3072,3379.5455,2603.5436,2711.3962
French Polynesia,All sectors with LULUCF,-116.7509,-27.9663,0.0,0.0
Gabon,All sectors with LULUCF,9895.2755,8895.5444,12926.9769,11620.2058
Gabon,All sectors without LULUCF,6418.156,5899.225,6670.273,5353.315
Gambia,All sectors with LULUCF,810.3371,966.5271,1058.8351,1205.6191
Gambia,All sectors without LULUCF,282.71,438.9,531.3,677.9
Georgia,All sectors with LULUCF,-12569.5508,3607.841,10540.0,9650.0
Georgia,All sectors without LULUCF,5698.0,7124.2,10540.0,9650.0
Germany,All sectors with LULUCF,837526.9386,793988.1195,749068.4079,592188.1812
Germany,All sectors without LULUCF,870492.0,794375.0,760367.0,603759.0
Ghana,All sectors with LULUCF,16331.4426,55738.9256,45970.4961,-5088.1732
Ghana,All sectors without LULUCF,6470.0,9915.0,16590.0,19860.0
Gibraltar,All sectors with LULUCF,0.0,0.0,0.0,0.0
Greece,All sectors with LULUCF,91111.2861,83926.5309,68903.1388,53447.3619
Greece,All sectors without LULUCF,92160.139,85134.53,67623.63,52182.03
Greenland,All sectors with LULUCF,-0.1356,-0.0219,-0.0992,-0.0926
Grenada,All sectors with LULUCF,191.921,261.15,261.1,267.13
Grenada,All sectors without LULUCF,191.921,261.15,261.1,267.13
Guadeloupe,All sectors with LULUCF,66.66,53.328,-99.2493,44.44
Guam,All sectors with LULUCF,0.0,0.0,0.0,-158.4
Guatemala,All sectors with LULUCF,25976.2987,24916.9296,23332.6016,17349.9627
Guatemala,All sectors without LULUCF,9852.0,11200.0,15620.0,14080.0
Guinea,All sectors with LULUCF,12017.5214,13365.5078,13372.2702,15528.7948
Guinea,All sectors without LULUCF,1532.9,2543.0,2504.5,3577.4
Guinea-Bissau,All sectors with LULUCF,1640.4985,1733.3685,1774.5225,1875.42
Guinea-Bissau,All sectors without LULUCF,153.36,246.23,287.56,389.98
Guyana,All sectors with LULUCF,8577.426,9765.0069,17522.6557,15209.111
Guyana,All sectors without LULUCF,1753.853,1894.859,2014.222,2357.127
Haiti,All sectors with LULUCF,1432.172,2192.389,3874.3913,3738.634
Haiti,All sectors without LULUCF,1362.5,2123.0,3223.0,3104.0
Holy See,All sectors with LULUCF,6.3321,5.7022,4.7139,3.7784
Holy See,All sectors without LULUCF,6.3321,5.7022,4.7139,3.7784
Honduras,All sectors with LULUCF,10559.0368,13409.9944,16162.0668,15147.6634
Honduras,All sectors without LULUCF,5024.9,8053.1,10264.2,9623.3
Hungary,All sectors with LULUCF,60037.8515,55506.5312,48753.1787,51391.6467
Hungary,All sectors without LULUCF,58509.7,53310.0,47481.5,49594.0
Iceland,All sectors with LULUCF,3658.0767,4499.444,4364.2966,3618.043
Iceland,All sectors without LULUCF,2947.37,3831.68,3751.66,3001.7
India,All sectors with LULUCF,856192.41,1770853.978,2328036.609,2465565.037
India,All sectors without LULUCF,1078600.0,1767200.0,2394200.0,2501200.0
Indonesia,All sectors with LULUCF,738925.3458,735213.8296,1531308.554,1082894.641
Indonesia,All sectors without LULUCF,285294.3,447129.0,519146.0,592363.0
Iran (Islamic Republic of),All sectors with LULUCF,353485.3141,544030.2751,654700.0,781755.6754
Iran (Islamic Republic of),All sectors without LULUCF,373900.0,588300.0,654700.0,781700.0
Iraq,All sectors with LULUCF,79402.6247,112438.2963,169974.7,213296.1
Iraq,All sectors without LULUCF,79540.0,112490.0,169890.0,212800.0
Ireland,All sectors with LULUCF,50520.0126,48504.9415,44433.1213,38365.183
Ireland,All sectors without LULUCF,42893.5,40720.5,36794.6,31399.66
Isle of Man,All sectors with LULUCF,20.433,20.3239,20.3625,20.4361
Israel,All sectors with LULUCF,61995.756,71352.784,69034.988,64361.7667
Israel,All sectors without LULUCF,62020.0,71360.0,69080.0,64280.0
Italy,All sectors with LULUCF,428131.8222,380457.398,308491.9369,274213.2477
Italy,All sectors without LULUCF,462744.0,415262.0,343248.0,287134.0
Jamaica,All sectors with LULUCF,10717.1665,5310.5145,8243.0532,7599.5237
Jamaica,All sectors without LULUCF,10301.0,7753.0,8022.8,7455.2
Japan,All sectors with LULUCF,1208090.625,1142273.719,1169964.486,1004220.297
Japan,All sectors without LULUCF,1283620.0,1240120.0,1219430.0,1036020.0
Jordan,All sectors with LULUCF,15350.0,20680.0,25350.0,18810.0
Jordan,All sectors without LULUCF,15350.0,20680.0,25350.0,18810.0
Kazakhstan,All sectors with LULUCF,127687.3455,258184.8463,230295.667,267041.4375
Kazakhstan,All sectors without LULUCF,128510.0,259698.48,240156.46,270025.3
Kenya,All sectors with LULUCF,6257.4558,27217.3444,24972.9575,8398.9284
Kenya,All sectors without LULUCF,10552.689,12050.871,16631.08,15971.26
Kiribati,All sectors with LULUCF,33.53,59.311,62.943,76.394
Kiribati,All sectors without LULUCF,33.53,59.311,62.943,76.394
Kuwait,All sectors with LULUCF,55750.9513,93267.0014,101019.7799,106257.0232
Kuwait,All sectors without LULUCF,55770.0,93290.0,101030.0,106260.0
Kyrgyzstan,All sectors with LULUCF,3750.1337,6502.7365,9718.4619,7416.1619
Kyrgyzstan,All sectors without LULUCF,4773.0,6512.0,10458.0,10683.0
Lao People's Democratic Republic,All sectors with LULUCF,11483.9647,15211.7545,17951.345,30453.245
Lao People's Democratic Republic,All sectors without LULUCF,980.6,3037.4,9282.3,21784.2
Latvia,All sectors with LULUCF,-2894.8718,-2173.5058,15265.6662,6643.3391
Latvia,All sectors without LULUCF,7132.19,8746.341,15050.18,6548.0388
Lebanon,All sectors with LULUCF,15503.2152,19997.289,25734.0669,17861.4869
Lebanon,All sectors without LULUCF,15490.284,19990.117,25810.0053,17940.0
Lesotho,All sectors with LULUCF,1855.61,2285.95,2336.29,2296.66
Lesotho,All sectors without LULUCF,1855.61,2285.95,2336.29,2296.66
Liberia,All sectors with LULUCF,13831.5115,14189.8273,14636.0579,14849.7467
Liberia,All sectors without LULUCF,437.7,780.2,1226.0,1443.0
Libya,All sectors with LULUCF,49660.0,64240.0,49290.0,42970.0
Libya,All sectors without LULUCF,49660.0,64240.0,49290.0,42970.0
Liechtenstein,All sectors with LULUCF,219.8424,197.0117,148.6636,130.6201
Liechtenstein,All sectors without LULUCF,197.277,167.7868,148.743,130.6201
Lithuania,All sectors with LULUCF,18217.2145,19542.0308,14342.6439,19703.4922
Lithuania,All sectors without LULUCF,12531.2,14471.29,15415.97,15361.85
Luxembourg,All sectors with LULUCF,8027.8523,10407.7023,8931.1355,7853.8019
Luxembourg,All sectors without LULUCF,8578.0,10922.0,9169.0,8129.0
Madagascar,All sectors with LULUCF,29820.5883,23009.407,12599.2152,12712.5603
Madagascar,All sectors without LULUCF,1913.5,2008.0,3558.0,3653.0
Malawi,All sectors with LULUCF,8827.1236,9019.6577,9028.5536,9223.0626
Malawi,All sectors without LULUCF,899.7,1066.0,1110.0,1316.0
Malaysia,All sectors with LULUCF,233453.1876,319234.8882,130852.158,327429.1302
Malaysia,All sectors without LULUCF,130041.7,212857.8,250566.2,262274.2
Maldives,All sectors with LULUCF,454.31,939.25,1305.9,1667.71
Maldives,All sectors without LULUCF,454.31,939.25,1305.9,1667.71
Mali,All sectors with LULUCF,893.67,2061.78,3181.56,3892.22
Mali,All sectors without LULUCF,893.67,2061.78,3181.56,3892.22
Malta,All sectors with LULUCF,2152.5072,2606.2045,1677.2661,2212.9852
Malta,All sectors without LULUCF,2152.63,2606.654,1677.571,2217.52
Marshall Islands,All sectors with LULUCF,99.0,136.0,143.0,168.0
Marshall Islands,All sectors without LULUCF,99.0,136.0,143.0,168.0
Martinique,All sectors with LULUCF,-59.4,-102.3,-132.0,-132.0
Mauritania,All sectors with LULUCF,1522.4049,2424.0075,3391.7248,2566.212
Mauritania,All sectors without LULUCF,1124.28,2028.13,2996.1,3648.7
Mauritius,All sectors with LULUCF,2676.5485,4014.9151,4229.9799,4770.3274
Mauritius,All sectors without LULUCF,2699.4858,3930.352,4224.852,4795.352
Mayotte,All sectors with LULUCF,64.1074,24.5241,9.3714,13.297
Mexico,All sectors with LULUCF,448347.905,434538.1912,513897.0384,405922.7793
Mexico,All sectors without LULUCF,426036.4,501269.0,500047.0,391475.0
Micronesia (Federated States of),All sectors with LULUCF,98.8776,73.4269,113.6882,129.0673
Micronesia (Federated States of),All sectors without LULUCF,128.0,103.0,143.0,164.0
Monaco,All sectors with LULUCF,114.725,93.77,92.97,76.31
Monaco,All sectors without LULUCF,114.725,93.77,92.97,76.31
Mongolia,All sectors with LULUCF,31111.2522,37702.4498,46260.8312,62366.3849
Mongolia,All sectors without LULUCF,7516.81,14096.791,23506.828,39912.895
Montenegro,All sectors with LULUCF,,-1571.8386,2390.2944,2293.2539
Montenegro,All sectors without LULUCF,,2552.159,2355.401,2274.68
Montserrat,All sectors with LULUCF,22.5151,-0.5493,-0.3363,-0.7273
Morocco,All sectors with LULUCF,28565.6862,50076.1562,57349.5305,61170.8012
Morocco,All sectors without LULUCF,33460.0,54600.0,58790.0,63110.0
Mozambique,All sectors with LULUCF,49834.66,52527.666,52940.6786,61897.5534
Mozambique,All sectors without LULUCF,1478.0,3600.0,7360.0,9070.0
Myanmar,All sectors with LULUCF,148447.4023,136133.8135,128614.972,131409.3332
Myanmar,All sectors without LULUCF,10541.6,13501.9,22605.0,29463.9
Namibia,All sectors with LULUCF,12210.4157,13741.1274,14458.8193,14586.6538
Namibia,All sectors without LULUCF,1650.25,3180.5,3898.4,4024.86
Nauru,All sectors with LULUCF,84.683,44.452,55.467,55.087
Nauru,All sectors without LULUCF,84.683,44.452,55.467,55.087
Nepal,All sectors with LULUCF,1267.3755,206.3861,9289.2723,16921.3214
Nepal,All sectors without LULUCF,3106.0,4920.0,6830.0,14550.0
Netherlands,All sectors with LULUCF,195276.1813,206224.979,185869.1523,161749.416
Netherlands,All sectors without LULUCF,188412.2,199812.9,179213.1,155113.6
Netherlands Antilles (former),All sectors with LULUCF,5659.6014,4616.6187,7380.0502,5934.5924
Netherlands Antilles (former),All sectors without LULUCF,5659.6,4616.7,7380.1,5934.7
New Caledonia,All sectors with LULUCF,-207.8877,-36.1947,30.9357,30.9357
New Zealand,All sectors with LULUCF,11631.139,12642.5887,22932.6293,23857.7889
New Zealand,All sectors without LULUCF,36223.16,34162.6,38332.4,33162.15
Nicaragua,All sectors with LULUCF,23244.7479,28107.5408,16256.5035,24474.3469
Nicaragua,All sectors without LULUCF,3752.0,4509.0,5302.0,4990.0
Niger,All sectors with LULUCF,6450.4635,2462.9455,3410.6362,3869.1022
Niger,All sectors without LULUCF,779.8,1231.6,2180.9,2625.0
Nigeria,All sectors with LULUCF,126822.6758,163492.9575,158192.9575,194591.2677
Nigeria,All sectors without LULUCF,80830.0,117500.0,112200.0,148600.0
Niue,All sectors with LULUCF,9.5783,5.0606,5.0123,6.2307
Niue,All sectors without LULUCF,7.33,3.67,7.33,8.41
Norfolk Island,All sectors with LULUCF,-0.07,-0.1971,0.4703,0.1275
North Macedonia,All sectors with LULUCF,12303.1,9037.1,7527.3,7122.7
North Macedonia,All sectors without LULUCF,12303.1,9037.1,7527.3,7122.7
Northern Mariana Islands,All sectors with LULUCF,143.3228,143.3466,183.5532,970.5256
Norway,All sectors with LULUCF,36503.7477,38244.3136,39212.5935,37157.913
Norway,All sectors without LULUCF,47590.143,56980.138,54020.196,51940.179
Oman,All sectors with LULUCF,22327.0,51710.0,72100.0,77919.107
Oman,All sectors without LULUCF,22327.0,51710.0,72100.0,77900.0
Pacific Islands Trust Territory,All sectors with LULUCF,,,,
Pacific Islands Trust Territory,All sectors without LULUCF,,,,
Pakistan,All sectors with LULUCF,117276.7602,167665.3035,181853.1763,269895.417
Pakistan,All sectors without LULUCF,109230.0,160600.0,176400.0,262900.0
Palau,All sectors with LULUCF,216.2,212.3,224.951,265.396
Palau,All sectors without LULUCF,216.2,212.3,224.951,265.396
Palestine,All sectors with LULUCF,0.0,0.0,0.0,0.0
Panama,All sectors with LULUCF,11574.3413,13332.6953,15021.352,14457.1264
Panama,All sectors without LULUCF,5749.0,9104.0,10792.0,10230.0
Papua New Guinea,All sectors with LULUCF,29420.3363,29641.5992,38377.9069,41982.2481
Papua New Guinea,All sectors without LULUCF,3019.687,4777.423,6579.451,8754.111
Paraguay,All sectors with LULUCF,45801.2798,61526.2911,74430.6501,52516.5322
Paraguay,All sectors without LULUCF,3769.2,5223.0745,6261.0119,6549.0
Peru,All sectors with LULUCF,88826.4518,108325.0626,138643.6263,136636.9147
Peru,All sectors without LULUCF,29096.73,43487.98,49818.63,46889.27
Philippines,All sectors with LULUCF,75944.1009,86902.2549,115960.552,139605.1111
Philippines,All sectors without LULUCF,73540.0,84519.0,113531.0,137143.0
Pitcairn,All sectors with LULUCF,0.0,0.0,0.0,0.0
Poland,All sectors with LULUCF,311470.8511,270440.2184,287874.6846,274239.3329
Poland,All sectors without LULUCF,309193.0,326506.0,299445.0,291703.0
Portugal,All sectors with LULUCF,64719.407,51886.2464,50662.2574,39827.9523
Portugal,All sectors without LULUCF,63315.91,51342.1,51515.7,39580.7
Puerto Rico,All sectors with LULUCF,-1157.5904,-2204.6738,-532.2177,-2629.9635
Qatar,All sectors with LULUCF,39120.0062,79280.0202,120900.0281,107200.0365
Qatar,All sectors without LULUCF,39120.0062,79280.0202,120900.0281,107200.0365
Republic of Korea,All sectors with LULUCF,428312.3263,534950.4057,583170.6607,567331.148
Republic of Korea,All sectors without LULUCF,470750.0,595070.0,633630.0,613130.0
Republic of Moldova,All sectors with LULUCF,3541.6711,4045.3089,4549.8248,6158.7178
Republic of Moldova,All sectors without LULUCF,3776.13,4991.33,4936.31,5972.58
R?nion,All sectors with LULUCF,-79.728,-79.728,-108.24,-126.72
Romania,All sectors with LULUCF,96304.0823,81107.3899,-209168.9497,49097.1837
Romania,All sectors without LULUCF,95653.8,83843.85,75997.24,72013.3
Russian Federation,All sectors with LULUCF,1275723.51,1006014.464,1153433.521,1267161.863
Russian Federation,All sectors without LULUCF,1627300.0,1752500.0,1818200.0,1802000.0
Rwanda,All sectors with LULUCF,3040.653,2862.8828,2323.7593,2313.4009
Rwanda,All sectors without LULUCF,546.7,599.9,957.2,1053.0
"Saint Helena, Ascension and Tristan da Cunha",All sectors with LULUCF,10.7521,11.9359,11.7493,11.2755
"Saint Helena, Ascension and Tristan da Cunha",All sectors without LULUCF,11.0,11.0,11.0,11.2
Saint Kitts and Nevis,All sectors with LULUCF,172.473,220.673,235.645,231.641
Saint Kitts and Nevis,All sectors without LULUCF,172.473,220.673,235.645,231.641
Saint Lucia,All sectors with LULUCF,211.9,248.1785,215.0014,185.8876
Saint Lucia,All sectors without LULUCF,349.9029,369.301,361.2222,332.2607
Saint Pierre and Miquelon,All sectors with LULUCF,1.4311,1.4311,1.3689,1.3689
Saint Vincent and the Grenadines,All sectors with LULUCF,101.2278,221.2848,214.2448,241.2254
Saint Vincent and the Grenadines,All sectors without LULUCF,148.0548,221.2848,214.2448,241.2254
Samoa,All sectors with LULUCF,251.7861,295.0243,345.384,448.4136
Samoa,All sectors without LULUCF,144.4,188.39,236.59,341.78
San Marino,All sectors with LULUCF,222.0197,216.3907,174.3293,149.02
San Marino,All sectors without LULUCF,224.315,218.543,176.346,149.02
Sao Tome and Principe,All sectors with LULUCF,57.395,108.946,330.3274,329.4474
Sao Tome and Principe,All sectors without LULUCF,48.366,99.917,115.02,114.14
Saudi Arabia,All sectors with LULUCF,311500.0,562700.0,701300.0,613200.0
Saudi Arabia,All sectors without LULUCF,311500.0,562700.0,701300.0,613200.0
Senegal,All sectors with LULUCF,8859.2927,13768.9138,14421.4654,15929.6657
Senegal,All sectors without LULUCF,3973.0,7400.0,9950.0,11600.0
Serbia,All sectors with LULUCF,,19945.5956,50494.5951,53710.2117
