Area,Item,2000,2005,2010,2015,2020
"Saint Helena, Ascension and Tristan da Cunha",All sectors with LULUCF,10.7521,11.9359,11.9359,11.7493,11.2755
Saint Kitts and Nevis,All sectors with LULUCF,172.473,198.62,220.673,235.645,231.641
Saint Lucia,All sectors with LULUCF,211.9,218.0845,248.1785,215.0014,185.8876
Saint Pierre and Miquelon,All sectors with LULUCF,1.4311,1.4311,1.4311,1.3689,1.3689
Saint Vincent and the Grenadines,All sectors with LULUCF,101.2278,221.2648,221.2848,214.2448,241.2254
Samoa,All sectors with LULUCF,251.7861,269.0643,295.0243,345.384,448.4136
San Marino,All sectors with LULUCF,222.0197,241.8927,216.3907,174.3293,149.02
Sao Tome and Principe,All sectors with LULUCF,57.395,86.81,108.946,330.3274,329.4474
Saudi Arabia,All sectors with LULUCF,311500.0,425900.0,562700.0,701300.0,613200.0
Senegal,All sectors with LULUCF,8859.2927,11988.9138,13768.9138,14421.4654,15929.6657
Serbia,All sectors with LULUCF,,,19945.5956,50494.5951,53710.2117
Serbia and Montenegro,All sectors with LULUCF,44753.4297,15561.396,,,
Seychelles,All sectors with LULUCF,573.92,691.16,446.38,482.85,399.17
Sierra Leone,All sectors with LULUCF,3756.2704,3834.2704,3951.6704,4282.8008,4569.7792
Singapore,All sectors with LULUCF,51176.8945,41316.4567,63280.4567,72047.7477,46873.9369
Slovakia,All sectors with LULUCF,28679.6295,32900.0843,30250.4371,26075.8336,29809.4499
Slovenia,All sectors with LULUCF,5849.5968,5344.1705,4521.5354,10822.2611,12511.1531
Solomon Islands,All sectors with LULUCF,4143.3816,1982.3327,2030.8527,-17523.1191,45747.6743
Somalia,All sectors with LULUCF,17858.6517,17977.2517,17998.7517,18018.8517,17977.0517
South Africa,All sectors with LULUCF,473832.0188,504113.8466,534316.611,516110.3816,486369.6678
South Sudan,All sectors with LULUCF,,,,11509.3403,13053.1455
Spain,All sectors with LULUCF,264162.233,342415.8576,264624.9544,257823.2338,202116.5238
Sri Lanka,All sectors with LULUCF,14683.0821,14419.2983,15467.4011,20437.3258,24761.7759
Sudan,All sectors with LULUCF,,,,42708.4663,42013.2522
Sudan (former),All sectors with LULUCF,37263.9329,43476.9618,48405.8209,,
Suriname,All sectors with LULUCF,5562.8654,5452.6332,6259.7376,10853.0806,11933.7571
Svalbard and Jan Mayen Islands,All sectors with LULUCF,0.0,0.0,0.0,0.0,0.0
Sweden,All sectors with LULUCF,59386.0261,48850.3513,50952.883,23466.6962,30063.0494
Switzerland,All sectors with LULUCF,38542.1201,40023.6739,37672.2441,34191.5472,27954.7531
Syrian Arab Republic,All sectors with LULUCF,48467.9,48717.9,60717.9,28041.0714,35363.8286
Tajikistan,All sectors with LULUCF,2900.5716,2859.8773,2868.8773,5268.215,6391.3452
Thailand,All sectors with LULUCF,191351.2087,201477.4525,237749.445,300465.7472,302591.8299
Timor-Leste,All sectors with LULUCF,852.4115,809.972,791.483,1147.013,1209.77
Togo,All sectors with LULUCF,4018.9443,2695.2889,3576.3149,3653.973,4425.1621
Tokelau,All sectors with LULUCF,0.0,0.0,0.0,0.0,0.0
Tonga,All sectors with LULUCF,95.876,114.579,117.527,121.58,181.629
Trinidad and Tobago,All sectors with LULUCF,34371.9145,53036.3541,64336.3541,60012.1329,44925.8828
Tunisia,All sectors with LULUCF,19271.8135,21361.9961,26741.9961,34220.4193,19994.7192
T?kiye,All sectors with LULUCF,201389.3604,197258.3078,259551.7078,296928.7778,372551.2855
Turkmenistan,All sectors with LULUCF,37979.0,48796.5443,58553.5443,74710.0,82680.0
Turks and Caicos Islands,All sectors with LULUCF,69.76,121.168,183.254,205.23,216.317
Tuvalu,All sectors with LULUCF,7.1071,10.8141,7.1442,10.8501,12.4372
Uganda,All sectors with LULUCF,15778.2919,16464.1161,18062.646,19029.0766,20437.3011
Ukraine,All sectors with LULUCF,332855.2872,364328.9045,319666.0532,213870.4192,182501.7393
United Arab Emirates,All sectors with LULUCF,115500.0,119310.0,163700.0,251000.0,179800.0
United Kingdom of Great Britain and Northern Ireland,All sectors with LULUCF,568903.5031,571668.4092,520620.5039,436839.8595,317564.7895
United Republic of Tanzania,All sectors with LULUCF,54336.0399,57174.8487,58611.5652,62307.1556,77632.0378
United States of America,All sectors with LULUCF,5482059.524,5566083.899,5142875.185,4878561.983,4334269.995
United States Virgin Islands,All sectors with LULUCF,24.4295,-46.6145,-46.6145,-42.3705,-165.4599
Uruguay,All sectors with LULUCF,-7848.5679,-4122.2435,-3551.4403,-56.0899,6307.0286
USSR,All sectors with LULUCF,,,,,
Uzbekistan,All sectors with LULUCF,125526.4369,111674.7574,98664.7574,105016.1995,112494.5081
Vanuatu,All sectors with LULUCF,86.99,61.63,124.11,135.17,163.37
Venezuela (Bolivarian Republic of),All sectors with LULUCF,297676.3314,258270.9717,279048.6368,274421.6345,132458.4922
Viet Nam,All sectors with LULUCF,-20067.6389,115020.2577,158616.5848,174230.4356,262912.4088
Wallis and Futuna Islands,All sectors with LULUCF,0.9611,0.9656,0.9656,0.6577,0.0
Western Sahara,All sectors with LULUCF,-607.889,-318.9108,-318.9108,-138.5429,-104.5657
Yemen,All sectors with LULUCF,15481.0,20896.0,24220.0,14136.0,16622.0
Yugoslav SFR,All sectors with LULUCF,,,,,
Zambia,All sectors with LULUCF,19972.2641,20454.8043,20743.1911,37821.101,39743.9226
Zimbabwe,All sectors with LULUCF,24989.5193,22536.2547,19320.2547,24049.9677,97216.739
World,All sectors with LULUCF,27492903.74,31670593.08,35492530.27,37032834.16,37115174.14
Africa,All sectors with LULUCF,1977833.779,2152343.282,2302606.055,2609098.709,2685797.923
Eastern Africa,All sectors with LULUCF,269746.8961,288545.4973,295304.5013,322699.4196,417028.0497
Middle Africa,All sectors with LULUCF,506797.0925,534665.7742,546607.002,792784.8405,787272.0455
Northern Africa,All sectors with LULUCF,373989.5596,439761.6359,518970.746,583521.9584,585026.7745
Southern Africa,All sectors with LULUCF,533881.3754,565193.4615,596917.9623,580321.2006,551616.1077
Western Africa,All sectors with LULUCF,293418.8551,324176.913,344805.8433,329771.2895,344854.9456
Americas,All sectors with LULUCF,9116907.713,9555033.521,9296289.649,8188241.903,7279635.129
Northern America,All sectors with LULUCF,6124348.772,6472820.689,6005740.957,5605713.869,4934205.294
Central America,All sectors with LULUCF,541276.9941,510680.3193,532632.2001,598800.4365,491722.66
Caribbean,All sectors with LULUCF,86411.8909,106861.6758,125729.7106,124413.3233,107584.0709
South America,All sectors with LULUCF,2364870.056,2464670.837,2632186.781,1859314.274,1746123.104
Asia,All sectors with LULUCF,9404197.86,13053441.23,17116520.1,20083987.13,20978775.11
Central Asia,All sectors with LULUCF,297843.4877,357097.282,424774.762,425008.5433,476023.4526
Eastern Asia,All sectors with LULUCF,5237165.385,7837983.878,10749326.01,11844198.79,12530899.04
Southern Asia,All sectors with LULUCF,1383074.85,1930574.89,2576226.638,3296217.424,3682570.616
South-eastern Asia,All sectors with LULUCF,1443171.568,1661438.185,1770956.167,2553384.615,2382596.929
Western Asia,All sectors with LULUCF,1042942.57,1266346.991,1595236.519,1965177.765,1906685.079
Europe,All sectors with LULUCF,5705697.436,5480141.503,5177079.849,4565583.51,4399950.874
Eastern Europe,All sectors with LULUCF,2298544.016,1979804.574,1960203.373,1726625.78,2007953.534
Northern Europe,All sectors with LULUCF,836759.62,843577.1466,807426.5085,624092.5559,551422.983
Southern Europe,All sectors with LULUCF,954267.4435,1039951.344,863565.4663,796574.8723,686557.3027
Western Europe,All sectors with LULUCF,1616126.356,1616808.438,1545884.501,1418290.302,1154017.055
Oceania,All sectors with LULUCF,435314.5917,437864.949,479668.2813,395426.8006,473526.6749
Australia and New Zealand,All sectors with LULUCF,402699.7998,405260.9304,448258.903,373631.0843,383381.3679
Melanesia,All sectors with LULUCF,31714.9699,31523.8924,30334.4438,20504.8828,87954.7812
Micronesia,All sectors with LULUCF,675.6134,695.5304,668.8364,783.6023,1506.0699
Polynesia,All sectors with LULUCF,224.2085,384.5958,406.0981,507.2312,684.4559
European Union (27),All sectors with LULUCF,3328475.818,3409620.388,3137578.987,2538288.623,2413207.369
Least Developed Countries,All sectors with LULUCF,1006050.204,1051796.504,1115974.621,1446208.787,1587641.951
Land Locked Developing Countries,All sectors with LULUCF,726555.0685,796555.9215,874087.3934,962890.7449,1147511.657
Small Island Developing States,All sectors with LULUCF,212771.0573,223758.0616,276055.4141,290473.6116,309955.1122
Low Income Food Deficit Countries,All sectors with LULUCF,2101324.505,2702453.129,3258670.841,4007760.446,4416691.804
Net Food Importing Developing Countries,All sectors with LULUCF,2003543.143,2101703.239,2303924.389,2734311.124,2806030.225
Annex I countries,All sectors with LULUCF,13583244.65,13738720.61,12995816.75,11949080.84,11018450.83
Non-Annex I countries,All sectors with LULUCF,13057308.29,16940415.97,21376660.39,23893391.09,24799335.77
OECD,All sectors with LULUCF,12726372.22,13099208.18,12518548.69,11801178.83,10458203.63
