Area,Item,2000,2005,2010,2015,2020,Entity,Land Area(Km2),2000rel,2005rel,2010rel,2015rel,2020rel
Tonga,All sectors without LULUCF,95.876,114.579,117.527,121.58,181.629,Tonga,747.0,7.79,6.52,6.36,6.14,4.11
Trinidad and Tobago,All sectors without LULUCF,34290.0,52900.0,64200.0,59900.0,44800.0,Trinidad and Tobago,5128.0,0.15,0.1,0.08,0.09,0.11
Tunisia,All sectors without LULUCF,20190.0,22670.0,28050.0,30340.0,23780.0,Tunisia,163610.0,8.1,7.22,5.83,5.39,6.88
Turkmenistan,All sectors without LULUCF,37979.0,48963.0,58720.0,74710.0,82680.0,Turkmenistan,488100.0,12.85,9.97,8.31,6.53,5.9
Tuvalu,All sectors without LULUCF,7.3419,11.0122,7.3423,11.027,12.6369,Tuvalu,26.0,3.54,2.36,3.54,2.36,2.06
Uganda,All sectors without LULUCF,1441.0,2136.0,3741.0,4713.0,6115.0,Uganda,241038.0,167.27,112.85,64.43,51.14,39.42
Ukraine,All sectors without LULUCF,372230.1,379648.3,335243.3,219109.16,185711.6,Ukraine,603550.0,1.62,1.59,1.8,2.75,3.25
United Arab Emirates,All sectors without LULUCF,115500.0,119310.0,163700.0,251000.0,179800.0,United Arab Emirates,83600.0,0.72,0.7,0.51,0.33,0.46
Uruguay,All sectors without LULUCF,5335.23,5801.25,6371.29,6789.32,8020.36,Uruguay,176215.0,33.03,30.38,27.66,25.95,21.97
Uzbekistan,All sectors without LULUCF,126320.0,123280.0,110270.0,108140.0,115860.0,Uzbekistan,447400.0,3.54,3.63,4.06,4.14,3.86
Vanuatu,All sectors without LULUCF,86.99,61.63,124.11,135.17,163.37,Vanuatu,12189.0,140.12,197.78,98.21,90.18,74.61
Yemen,All sectors without LULUCF,15481.0,20896.0,24220.0,14136.0,16622.0,Yemen,527968.0,34.1,25.27,21.8,37.35,31.76
Zambia,All sectors without LULUCF,1822.0,2285.0,2607.0,4286.0,6130.0,Zambia,752618.0,413.07,329.37,288.69,175.6,122.78
Zimbabwe,All sectors without LULUCF,14588.0,11596.0,8380.0,12731.0,10054.0,Zimbabwe,390757.0,26.79,33.7,46.63,30.69,38.87
